los_score,distance_to_rail_m,geometry,hash,number,street,unit,city,district,region,postcode,id
1,85.49567996682936,POINT (-87.6342495 41.7183645),43166d74612ab2ec,9648,S EGGLESTON AVE,,,,,,
1,85.55511139725574,POINT (-87.6342462 41.71822230000001),a278726ea7bedabd,9652,S EGGLESTON AVE,,,,,,
1,79.07721498430543,POINT (-87.63283329999999 41.7206819),512cc466c606fba9,9522,S HARVARD AVE,,,,,,
0,84.93800917613335,POINT (-87.6342783 41.7196185),db69ca4af7041da9,9600,S EGGLESTON AVE,,,,,,
1,84.99586115062948,POINT (-87.6342758 41.71950650000001),9e9152f8c94c44ec,9606,S EGGLESTON AVE,,,,,,
0,85.03968843399626,POINT (-87.6342736 41.7194103),e650866ab8c05cf9,9608,S EGGLESTON AVE,,,,,,
1,85.08321520028642,POINT (-87.63427139999999 41.71931419999999),6ff189ef43ae5e64,9612,S EGGLESTON AVE,,,,,,
1,85.12674153901935,POINT (-87.63426920000002 41.7192181),29cf41ec79e3f98e,9616,S EGGLESTON AVE,,,,,,
0,85.1705675231109,POINT (-87.63426699999998 41.719121900000005),9352d501e8486b91,9620,S EGGLESTON AVE,,,,,,
1,86.66375151186669,POINT (-87.63418689999999 41.7156534),0345427b580e8e4f,9814,S EGGLESTON AVE,,,,,,
1,86.66615227771427,POINT (-87.6341858 41.715611800000005),c792cb1a6842db71,9814,S EGGLESTON AVE,,,,,,
0,61.17689385300891,POINT (-87.63301069999999 41.72129629999999),e92721975fd35c3f,349,W 95TH ST,,,,,,
1,79.10311551100565,POINT (-87.63283749999998 41.720846300000005),4af19bcdd1625567,9516,S HARVARD AVE,,,,,,
1,86.74108681582648,POINT (-87.6341811 41.7154125),1643d3d87075efef,9822,S EGGLESTON AVE,,,,,,
1,86.76915614651338,POINT (-87.63417949999999 41.71534379999999),e7908db28702e77c,9824,S EGGLESTON AVE,,,,,,
1,86.72204650263016,POINT (-87.63418280000002 41.7154819),29bf8bc03fcffa32,9818,S EGGLESTON AVE,,,,,,
1,86.52290632118212,POINT (-87.6341953 41.71601189999999),4aa6aff0d5818ce6,9800,S EGGLESTON AVE,,,,,,
1,86.54857703555133,POINT (-87.63419369999998 41.715943999999986),4bbdd3b87f9c8172,9802,S EGGLESTON AVE,,,,,,
1,86.56974653083522,POINT (-87.63419209999999 41.715877600000006),68c7b8682b959a33,9806,S EGGLESTON AVE,,,,,,
1,86.59386203422446,POINT (-87.6341903 41.7158028),55f37e4be46cfe55,9810,S EGGLESTON AVE,,,,,,
0,73.31276326236718,POINT (-87.6329017 41.7212978),b46e35154708dd51,347,W 95TH ST,,,,,,
0,85.44893276604652,POINT (-87.63279269999998 41.7212994),87af164108e5b416,341,W 95TH ST,,,,,,
0,96.97266892660986,POINT (-87.6326892 41.721300899999996),b9794c97bf87b31a,335,W 95TH ST,,,,,,
1,79.12719594092704,POINT (-87.6328395 41.7209285),ed3733f7e907effc,9516,S HARVARD AVE,,,,,,
1,85.20825808369382,POINT (-87.6342643 41.719009199999995),6791e368e5a46a94,9624,S EGGLESTON AVE,,,,,,
1,86.64476528496937,POINT (-87.63418769999998 41.715689399999995),07d7a6661aecd906,9812,S EGGLESTON AVE,,,,,,
0,83.28988019726349,POINT (-87.63430879999999 41.721298899999994),8475c1a1242006f1,419,W 95TH ST,,,,,,
0,73.28068289301719,POINT (-87.6342189 41.7213001),627bd41bf91a65d9,419,W 95TH ST,,,,,,
